,Unnamed: 0,Unnamed: 0.1,Partition Ratio,SMILES,Rank,HighThreshold,MediumThreshold,LowThreshold,scaffold
18,18,18,7.482875921161306,Cc1cc(/C=C/c2ccc(C(C)C)cc2)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F,19,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
19,19,19,7.359561158986386,CC1=CC(/C=C/CC2=CC=C(OC)C(OCC)=C2)=[N+]([B-](F)3F)C1=Cc4n3ccc4,20,1,0,0,[BH2-]1n2cccc2C=C2C=CC(C=CCc3ccccc3)=[N+]12
20,20,20,7.332575326184326,O=C(Nc1ccc(C2=C3C(C)=CC(/C=C/C4=CC=C(C5=CC=CC=N5)C=C4)=[N+]3[B-](F)(n6c2ccc6)F)cc1)CCl,21,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccc(-c4ccccn4)cc3)=[N+]12
21,21,21,7.323842320992839,CC1=CC(/C=C/C2=CC=CC3=C2C4=C(C=CC=C4)C3)=[N+]5[B-](F)(F)N6C(C(C7=CC=C(N)C=C7)=C51)=CC=C6,22,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3cccc4c3-c3ccccc3C4)=[N+]12
22,22,22,7.311767673506865,Cc1cc(/C=C/c2ccc(/C=C/c3ccccc3)cc2)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F,23,1,0,0,[BH2-]1n2c(C=Cc3ccc(C=Cc4ccccc4)cc3)ccc2C=C2C=CC=[N+]12
23,23,23,7.273779006548893,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC3CCCC3)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,24,1,0,0,C(=CC=C1Cc2ccccc2N1CCCCNC1CCCC1)C=CC1=[NH+]c2ccccc2C1
24,24,24,6.988749597522222,CC1(C)C(/C=C/C=C/C=C2N(CCCCC([O-])=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(C4=CC=NO4)=O)C5=CC=CC=C51,25,1,0,0,O=C(NCCC[N+]1=C(C=CC=CC=C2Cc3ccccc3N2)Cc2ccccc21)c1ccno1
25,25,25,6.964448270107343,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(C3=C(NC4=CC=CC=C4)C=CC=C3)=O)C(C=CC=C5)=C5C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C6=CC=CC=C61,26,1,0,0,O=C(NCCCCN1C(=CC=CC=CC2=[NH+]c3ccccc3C2)Cc2ccccc21)c1ccccc1Nc1ccccc1
26,26,26,6.94347307455917,F[B-]1(F)[N+]2=C(/C=C/C3=CC=C(SC)C=C3)C=C(C)C2=CC4=CC=C(CCC(OCC(Cl)(Cl)Cl)=O)N14,27,1,0,0,[BH2-]1n2cccc2C=C2C=CC(C=Cc3ccccc3)=[N+]12
27,27,27,6.932313449329331,CCCCCN(CCCCC)c1ccc(C=CC2=[N+]3C(=C(c4ccc(NC(C)=O)cc4)c4cccn4[B-]3(F)F)C(C)=C2)cc1,28,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccccc3)=[N+]12
28,28,28,6.758020950031908,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(CCC(F)(F)F)=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C4=CC=CC=C41,29,1,0,0,C(=CC=C1Cc2ccccc2N1)C=CC1=[NH+]c2ccccc2C1
29,29,29,6.754749368862609,CC1(C)C(/C=C/C=C/C=C2N(CCCCNCC3=CC=C(OC)C(OC)=C3)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,30,1,0,0,C(=CC=C1Cc2ccccc2N1CCCCNCc1ccccc1)C=CC1=[NH+]c2ccccc2C1
30,30,30,6.737746487138653,CC1(C)C(/C=C/C=C/C=C2N(CCCCNS(=O)(C3=CC=C(C)C=C3)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,31,1,0,0,O=S(=O)(NCCCCN1C(=CC=CC=CC2=[NH+]c3ccccc3C2)Cc2ccccc21)c1ccccc1
31,31,31,6.532218007611258,Cc1cc(/C=C/c2ccc(/C=C/c3ccccc3)cc2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F,32,1,0,0,[BH2-]1n2c(C=Cc3ccc(C=Cc4ccccc4)cc3)ccc2C=C2C=CC=[N+]12
32,32,32,6.47935609206118,Cc1cc(/C=C/c2cc(Br)ccc2O)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F,33,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
33,33,33,6.461432575080026,CC(=O)Nc1ccc(C2=C3C(C)=CC(C=Cc4ccc(Cl)cc4F)=[N+]3[B-](F)(F)n3cccc32)cc1,34,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccccc3)=[N+]12
34,34,34,6.432480348672144,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC(C=CC=C6)=C6S5)C=C4)=CC=C2,35,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3cc4ccccc4s3)=[N+]12
35,35,35,6.32024930233696,Cc1cc(/C=C/c2cc(Br)cc3c2OCO3)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F,36,1,0,0,[BH2-]1n2c(C=Cc3cccc4c3OCO4)ccc2C=C2C=CC=[N+]12
36,36,36,6.297881882660044,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC3=C(F)C(F)=CC=C3)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,37,1,0,0,C(=CC=C1Cc2ccccc2N1CCCCNc1ccccc1)C=CC1=[NH+]c2ccccc2C1
37,37,37,6.281301069156747,F[B-]1(F)[N+]2=C(/C=C/C3=CC=C(OC4=CC=CC=C4F)C=C3)C=C(C)C2=CC5=CC=C(CCC(OCC(Cl)(Cl)Cl)=O)N15,38,1,0,0,[BH2-]1n2cccc2C=C2C=CC(C=Cc3ccc(Oc4ccccc4)cc3)=[N+]12
38,38,38,6.264280690448048,Cc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])c(C)c1,39,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
39,39,39,6.236929596086445,Cc1cc(/C=C/c2ccc(C(C)C)cc2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F,40,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
40,40,40,6.198821122950529,Cc1cc(C)cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])c1,41,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
41,41,41,6.069442744469089,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=CC(OCC)=C5O)C=C4)=CC=C2,42,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccccc3)=[N+]12
42,42,42,6.058479422518616,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(OC)C(Cl)=C5)C=C4)=CC=C2,43,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccccc3)=[N+]12
43,43,43,6.055531549195006,F[B-]1(F)[N+]2=C(/C=C/C3=C(OC)C=CC(F)=C3)C=C(C)C2=CC4=CC=C(CCC(OCC(Cl)(Cl)Cl)=O)N14,44,1,0,0,[BH2-]1n2cccc2C=C2C=CC(C=Cc3ccccc3)=[N+]12
44,44,44,6.027909210244039,Cc1cc(/C=C/c2ccc(F)c(Br)c2)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F,45,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
45,45,45,5.996045042254329,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(C3=C(OCC)C=CC=C3)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,46,1,0,0,O=C(NCCCCN1C(=CC=CC=CC2=[NH+]c3ccccc3C2)Cc2ccccc21)c1ccccc1
46,46,46,5.973684458988974,Cc1cc(/C=C/c2ccc(C(C)(C)C)cc2)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F,47,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
47,47,47,5.968375472265773,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(CC3=CC=CC4=C3C=CC=C4)=O)C(C=CC=C5)=C5C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C6=CC=CC=C61,48,1,0,0,O=C(Cc1cccc2ccccc12)NCCCCN1C(=CC=CC=CC2=[NH+]c3ccccc3C2)Cc2ccccc21
48,48,48,5.946535013159992,Cc1cccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])c1C,49,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
49,49,49,5.906347424179312,CC1=CC(/C=C/C2=CC=C(OC3=CC=CC=C3)C(F)=C2)=[N+]4[B-](F)(F)N5C(C(C6=CC=C(NC(CCl)=O)C=C6)=C41)=CC=C5,50,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccc(Oc4ccccc4)cc3)=[N+]12
50,50,50,5.84266947697652,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(C(CC)C)=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C4=CC=CC=C41,51,1,0,0,C(=CC=C1Cc2ccccc2N1)C=CC1=[NH+]c2ccccc2C1
51,51,51,5.815965629525146,CC1(C)C(/C=C/C=C/C=C2N(CCCCC([O-])=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(C4=C(C)ON=C4C)=O)C5=CC=CC=C51,52,1,0,0,O=C(NCCC[N+]1=C(C=CC=CC=C2Cc3ccccc3N2)Cc2ccccc21)c1cnoc1
52,52,52,5.763868675741868,Cc1ccc(Oc2ccccc2/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])cc1,53,1,0,0,[BH2-]1n2c(C=Cc3ccccc3Oc3ccccc3)ccc2C=C2C=CC=[N+]12
53,53,53,5.718396950672165,CC1=CC(/C=C/C2=CC(C=C(Br)C=C3)=C3N2)=[N+]4[B-](F)(F)N5C(C(C6=CC=C(N)C=C6)=C41)=CC=C5,54,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3cc4ccccc4[nH]3)=[N+]12
54,54,54,5.713586892449162,Cc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])cc1C,55,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
55,55,55,5.692529984151161,COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])cc(I)c1OC,56,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
56,56,56,5.692132525483434,CC1(C)C(/C=C/C=C/C=C2N(CCCCNS(=O)(C)=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C4=CC=CC=C41,57,1,0,0,C(=CC=C1Cc2ccccc2N1)C=CC1=[NH+]c2ccccc2C1
57,57,57,5.652511742084369,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(C6=CN=CN=C6)C=C5)C=C4)=CC=C2,58,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccc(-c4cncnc4)cc3)=[N+]12
