,Unnamed: 0,SMILES,RATIO,DISCRETE_TARGET,Threshold1,Threshold2,Threshold3
31,31,CC1(C)C(/C=C/C=C/C=C2N(CCCCNS(=O)(C3=C(N=CC=C4)C4=CC=C3)=O)C(C=CC=C5)=C5C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C6=CC=CC=C61,8.476396215225073,0,1,1,1
32,32,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC(Br)=CC=C5O)C=C4)=CC=C2,8.467852450041235,0,1,1,1
33,33,CC(=O)Nc1ccc(C2=C3C(C)=CC(C=Cc4ccc(S(C)(=O)=O)cc4)=[N+]3[B-](F)(F)n3cccc32)cc1,8.462714955246968,0,1,1,1
34,34,CC(=O)NCCC/[N+](C)=c1\ccc2c(-c3ccc(F)c(C)c3)c3ccc(-n4cc(C(C)(C)C)nn4)cc3oc-2c1,8.455082800438577,0,1,1,1
35,35,CC1(C)C(/C=C/C=C/C=C2N(CCCCNS(=O)(C3=CC=C(F)C(F)=C3)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,8.427015459685283,0,1,1,1
36,36,CC(=O)Nc1ccc(C2=C3C(C)=CC(C=Cc4ccc(C(C)C)cc4)=[N+]3[B-](F)(F)n3cccc32)cc1,8.421137239510466,0,1,1,1
37,37,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC(Br)=CC(Br)=C5OC)C=C4)=CC=C2,8.389334775898996,0,1,1,1
38,38,CC(=O)Nc1ccc(C2=C3C(C)=CC(C=Cc4ccc(F)cc4)=[N+]3[B-](F)(F)n3cccc32)cc1,8.38585950765942,0,1,1,1
39,39,CCCC(C)c1cn(-c2ccc3c(-c4ccc(-c5ccccc5)cc4)c4cc/c(=[N+](/C)CCCNC(C)=O)cc-4oc3c2)nn1,8.365349892318902,0,1,1,1
40,40,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=CC6=C5C=CC=C6)C=C4)=CC=C2,8.321776595858097,0,1,1,1
41,41,CC(=O)Nc1ccc(C2=C3C(C)=CC(C=Cc4ccc(C(F)(F)F)cc4)=[N+]3[B-](F)(F)n3cccc32)cc1,8.32121269175009,0,1,1,1
42,42,CSc1ccc(C=CC2=[N+]3C(=C(c4ccc(NC(C)=O)cc4)c4cccn4[B-]3(F)F)C(C)=C2)cc1,8.310817382733491,0,1,1,1
43,43,CN(C)c1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc2ccccc2c1,8.281702922756065,0,1,1,1
44,44,CC1=CC(/C=C/C2=CC(F)=CC=C2OC)=[N+]3[B-](F)(F)N4C(C(C5=CC=C(NC(CCl)=O)C=C5)=C31)=CC=C4,8.255770284944214,0,1,1,1
45,45,CC(=O)NCCC/[N+](C)=c1\ccc2c(-c3ccc(F)c(C)c3)c3ccc(-n4cc(CC5CCCC5)nn4)cc3oc-2c1,8.19605688990634,0,1,1,1
46,46,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(OCC6=CC=CC=C6)C=C5)C=C4)=CC=C2,8.139535923070062,0,1,1,1
47,47,CC1(C)C(/C=C/C=C/C=C2N(CCCCNS(=O)(C3=CC=CC=C3C#N)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,8.105120137067379,0,1,1,1
