,SMILES
47,Cc1cc(/C=C/c2ccc(OC(C)(C)C)cc2)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F
48,Cc1cc(/C=C/c2ccc(Oc3ccccc3)cc2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
49,Cc1cc(/C=C/c2ccc(N(C)CCO)cc2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
50,COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CCNC(=O)CCl)c(O)c1
51,Cc1cc(/C=C/c2ccc3c(c2)OCO3)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
52,Cc1ccccc1NC1=[N+]2C(=C(c3ccc(N)cc3)c3ccc(-n4cc(C5CCCC5)nn4)n3[B-]2(F)F)C=C1
53,COc1ccc(Oc2cccc(/C=C/c3cc(C)c4n3[B-](F)(F)[N+]3=CC=CC3=C4CCNC(=O)CCl)c2)cc1
54,Cc1cc(/C=C/c2ccc(OC(C)(C)C)cc2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
55,Cc1cc(/C=C/c2ccccc2-c2ccccc2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
56,Nc1ccc(C2=C3C=CC(NCc4cc(F)cc(F)c4)=[N+]3[B-](F)(F)n3c2ccc3-n2cc(CO)nn2)cc1
57,COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])cc1Br
58,COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])cc1Cl
59,CCCc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CCNC(=O)CCl)cc1
60,Nc1ccc(C2=C3C=CC(N4CCc5ccccc5C4)=[N+]3[B-](F)(F)n3c2ccc3-n2cc(C3CC3)nn2)cc1
61,Cc1cc(/C=C/c2ccc(C)c3ccccc23)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
62,Cc1cc(/C=C/c2ccc(C#N)cc2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
63,COc1ccc2ccccc2c1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2CCNC(=O)CCl
64,Cc1ccc2ccccc2c1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2CC[NH3+]
65,COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CCNC(=O)CCl)c(OC)c(OC)c1
66,CN(Cc1ccccc1)C1=[N+]2C(=C(c3ccc(N)cc3)c3ccc(-n4cc(C5CCCC5)nn4)n3[B-]2(F)F)C=C1
67,Cc1cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
68,COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CCNC(=O)CCl)c2c(OC)cccc12
69,Cc1cccc(Cl)c1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2CC[NH3+]
