,Unnamed: 0,SMILES,RATIO,DISCRETE_TARGET,Threshold1,Threshold2,Threshold3
28,28,O=C(C)NC(C=C1)=CC=C1C(C2=CC=C(N3C=C(CCC)N=N3)N2[B-]4(F)F)=C5[N+]4=C(N(C)CC6=CC=CC=C6)C=C5,3.805324917581097,0,1,1,1
29,29,C/[N+](CCNC(C)=O)=C1C=C2OC3=CC(N4C=C(CCC5=CC=CC=C5)N=N4)=CC=C3C(C6=CC(C=CC=C7)=C7C=C6)=C2C=C\1,3.75550643518267,0,1,1,1
30,30,CC(=O)Nc1ccc(C2=C3C(C)=CC(/C=C/c4ccco4)=[N+]3[B-](F)(F)n3cccc32)cc1,3.693478385785707,0,1,1,1
31,31,C/[N+](CCNC(C)=O)=C1C=C2OC3=CC(N4C=C(C5=CC=CC6=C5C=CC=C6)N=N4)=CC=C3C(C7=CC(C=CC=C8)=C8C=C7)=C2C=C\1,3.6856002455217616,0,1,1,1
32,32,CC1(C)C(/C=C/C=C/C=C2N(CCCCC([O-])=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(CCN4CCCC4)=O)C5=CC=CC=C51,3.683385136651777,0,1,1,1
33,33,CC1=CC(/C=C/C2=CC=C(CC)C([N+]([O-])=O)=C2)=[N+]3[B-](F)(F)N4C(C(C5=CC=C(NC(CCl)=O)C=C5)=C31)=CC=C4,3.6705117843159134,0,1,1,1
34,34,NC1=CC=C2C(OC(C3=C2C4=CC=C(C5=CC=CC=C5)C=C4)=C/C(C=C3)=[N+](CCCC)/CCCC)=C1,3.65735429305849,0,1,1,1
35,35,CC(=O)Nc1ccc(C2=C3C(C)=CC(C=Cc4ccc(C(=O)O)cc4O)=[N+]3[B-](F)(F)n3cccc32)cc1,3.642323024458022,0,1,1,1
36,36,CC(=O)Nc1ccc(C2=C3C(C)=CC(CCCCCCC(C=O)/C=C/c4ccccc4)=[N+]3[B-](F)(F)n3cccc32)cc1,3.635767544185351,0,1,1,1
37,37,CC(=O)Nc1ccc(C2=C3C(C)=CC(C=Cc4sccc4C=O)=[N+]3[B-](F)(F)n3cccc32)cc1,3.63265624715339,0,1,1,1
38,38,CC1=CC(/C=C/C2=CC=C(N3CCCCC3)C([N+]([O-])=O)=C2)=[N+]4[B-](F)(F)N5C(C(C6=CC=C(NC(CCl)=O)C=C6)=C41)=CC=C5,3.616708298831094,0,1,1,1
39,39,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(C3=CC=NC=C3)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,3.6091284972630397,0,1,1,1
40,40,CC(=O)NCCCCCN(CCCN)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3c4c5c(cc23)CCCN5CCC4)cc1,3.5913374277819536,0,1,1,1
41,41,CC(=O)Nc1ccc(C2=C3C(C)=CC(C=Cc4cc(O)cc(O)c4)=[N+]3[B-](F)(F)n3cccc32)cc1,3.5808249413895186,0,1,1,1
42,42,C/[N+](CCCN)=c1/ccc2c(-c3ccc(-c4ccccc4)cc3)c3ccc(-n4cc(C5CCCC5)nn4)cc3oc-2c1,3.560397887456904,0,1,1,1
43,43,CC1=CC(/C=C/C2=CC=CC(OC3=CC(Cl)=CC(Cl)=C3)=C2)=[N+]4[B-](F)(F)N5C(C(C6=CC=C(NC(CCl)=O)C=C6)=C41)=CC=C5,3.5577992720035603,0,1,1,1
44,44,NC1=CC=C2C(N(C)C(C3=C2C4=CC=C(C5OCCCO5)C=C4)=C6C(C=C3)=[NH+]C(C)(C)C=C6C)=C1,3.54991704825194,0,1,1,1
45,45,O=C(C)NC(C=C1)=CC=C1C(C2=CC=C(N3C=C(CCC)N=N3)N2[B-]4(F)F)=C5[N+]4=C(N6CCC(C=CC=C7)=C7C6)C=C5,3.479308453080174,0,1,1,1
46,46,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(OC)c(F)c1,3.471895123824643,0,1,1,1
47,47,CN(C)c1ccc(C2c3ccc(N)cc3Sc3cc(N)ccc32)cc1,3.4697699282007,0,1,1,1
48,48,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(C(CC)C)=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C4=CC=CC=C41,3.4592093719702186,0,1,1,1
